pham_vi,mat,ky,nam,thang,chi_tieu,gia_tri_goc,dvt_nguon,vnd,nghin_ty,nguon
CẢ NƯỚC,chi,tháng,2024,12,tổng,"283,9",nghìn tỷ đồng,283900000000000,283.9,https://www.nso.gov.vn/bai-top/2025/01/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-iv-va-nam-2024/
CẢ NƯỚC,thu,tháng,2024,12,tổng,"206,5",nghìn tỷ đồng,206500000000000,206.5,https://www.nso.gov.vn/bai-top/2025/01/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-iv-va-nam-2024/
CẢ NƯỚC,chi,tháng,2025,1,tổng,"134,4",nghìn tỷ đồng,134400000000000,134.4,https://www.nso.gov.vn/bai-top/2025/02/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-mot-nam-2025/
CẢ NƯỚC,thu,tháng,2025,1,tổng,"275,9",nghìn tỷ đồng,275899999999999,275.9,https://www.nso.gov.vn/bai-top/2025/02/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-mot-nam-2025/
CẢ NƯỚC,chi,tháng,2025,2,tổng,"140,6",nghìn tỷ đồng,140600000000000,140.6,https://www.nso.gov.vn/bai-top/2025/03/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-hai-va-02-thang-dau-nam-2025/
CẢ NƯỚC,thu,tháng,2025,2,tổng,"191,9",nghìn tỷ đồng,191900000000000,191.9,https://www.nso.gov.vn/bai-top/2025/03/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-hai-va-02-thang-dau-nam-2025/
CẢ NƯỚC,chi,tháng,2025,3,tổng,"148,1",nghìn tỷ đồng,148100000000000,148.1,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2025/04/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-i-nam-2025/
CẢ NƯỚC,thu,tháng,2025,3,tổng,"189,7",nghìn tỷ đồng,189700000000000,189.7,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2025/04/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-i-nam-2025/
CẢ NƯỚC,chi,tháng,2025,4,tổng,"164,9",nghìn tỷ đồng,164900000000000,164.9,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2025/05/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tu-va-4-thang-dau-nam-2025/
CẢ NƯỚC,thu,tháng,2025,4,tổng,"199,9",nghìn tỷ đồng,199900000000000,199.9,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2025/05/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tu-va-4-thang-dau-nam-2025/
CẢ NƯỚC,chi,tháng,2025,5,tổng,"235,1",nghìn tỷ đồng,235100000000000,235.1,https://www.nso.gov.vn/bai-top/2025/06/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-nam-va-5-thang-dau-nam-2025/
CẢ NƯỚC,thu,tháng,2025,5,tổng,"172,4",nghìn tỷ đồng,172400000000000,172.4,https://www.nso.gov.vn/bai-top/2025/06/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-nam-va-5-thang-dau-nam-2025/
CẢ NƯỚC,chi,tháng,2025,6,tổng,"282,6",nghìn tỷ đồng,282600000000000,282.6,https://www.nso.gov.vn/bai-top/2025/07/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-ii-va-6-thang-dau-nam-2025/
CẢ NƯỚC,thu,tháng,2025,6,tổng,"176,6",nghìn tỷ đồng,176600000000000,176.6,https://www.nso.gov.vn/bai-top/2025/07/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-ii-va-6-thang-dau-nam-2025/
CẢ NƯỚC,chi,luỹ kế 7 tháng,2025,7,tổng,"1.317,4",nghìn tỷ đồng,1317400000000000,1317.4,https://www.nso.gov.vn/bai-top/2025/08/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-bay-va-7-thang-nam-2025/
CẢ NƯỚC,thu,luỹ kế 7 tháng,2025,7,tổng,"1.577,5",nghìn tỷ đồng,1577500000000000,1577.5,https://www.nso.gov.vn/bai-top/2025/08/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-bay-va-7-thang-nam-2025/
CẢ NƯỚC,chi,tháng,2025,7,tổng,"164,9",nghìn tỷ đồng,164900000000000,164.9,https://www.nso.gov.vn/bai-top/2025/08/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-bay-va-7-thang-nam-2025/
CẢ NƯỚC,thu,tháng,2025,7,tổng,"242,1",nghìn tỷ đồng,242100000000000,242.1,https://www.nso.gov.vn/bai-top/2025/08/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-bay-va-7-thang-nam-2025/
CẢ NƯỚC,chi,luỹ kế 8 tháng,2025,8,tổng,"1.450,3",nghìn tỷ đồng,1450300000000000,1450.3,https://www.nso.gov.vn/bai-top/2025/09/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tam-va-8-thang-nam-2025/
CẢ NƯỚC,thu,luỹ kế 8 tháng,2025,8,tổng,"1.740,0",nghìn tỷ đồng,1740000000000000,1740.0,https://www.nso.gov.vn/bai-top/2025/09/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tam-va-8-thang-nam-2025/
CẢ NƯỚC,chi,tháng,2025,8,tổng,"183,1",nghìn tỷ đồng,183100000000000,183.1,https://www.nso.gov.vn/bai-top/2025/09/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tam-va-8-thang-nam-2025/
CẢ NƯỚC,thu,tháng,2025,8,tổng,"158,8",nghìn tỷ đồng,158800000000000,158.8,https://www.nso.gov.vn/bai-top/2025/09/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tam-va-8-thang-nam-2025/
CẢ NƯỚC,chi,tháng,2025,9,tổng,"201,5",nghìn tỷ đồng,201500000000000,201.5,https://www.nso.gov.vn/bai-top/2025/10/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-iii-va-9-thang-nam-2025/
CẢ NƯỚC,thu,tháng,2025,9,tổng,"181,1",nghìn tỷ đồng,181100000000000,181.1,https://www.nso.gov.vn/bai-top/2025/10/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-iii-va-9-thang-nam-2025/
CẢ NƯỚC,chi,tháng,2025,10,tổng,"199,1",nghìn tỷ đồng,199100000000000,199.1,https://www.nso.gov.vn/bai-top/2025/11/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-muoi-va-10-thang-nam-2025/
CẢ NƯỚC,thu,tháng,2025,10,tổng,"231,2",nghìn tỷ đồng,231200000000000,231.2,https://www.nso.gov.vn/bai-top/2025/11/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-muoi-va-10-thang-nam-2025/
CẢ NƯỚC,chi,tháng,2025,11,tổng,"213,3",nghìn tỷ đồng,213300000000000,213.3,https://www.nso.gov.vn/bai-top/2025/12/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-muoi-mot-va-11-thang-nam-2025/
CẢ NƯỚC,thu,tháng,2025,11,tổng,"201,5",nghìn tỷ đồng,201500000000000,201.5,https://www.nso.gov.vn/bai-top/2025/12/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-muoi-mot-va-11-thang-nam-2025/
CẢ NƯỚC,chi,tháng,2025,12,tổng,"350,1",nghìn tỷ đồng,350100000000000,350.1,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2026/01/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-iv-va-nam-2025/
CẢ NƯỚC,thu,tháng,2025,12,tổng,"244,2",nghìn tỷ đồng,244200000000000,244.2,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2026/01/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-iv-va-nam-2025/
CẢ NƯỚC,chi,tháng,2026,1,tổng,"163,0",nghìn tỷ đồng,163000000000000,163.0,https://www.nso.gov.vn/bai-top/2026/02/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-mot-nam-2026/
CẢ NƯỚC,thu,tháng,2026,1,tổng,"370,7",nghìn tỷ đồng,370700000000000,370.7,https://www.nso.gov.vn/bai-top/2026/02/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-mot-nam-2026/
CẢ NƯỚC,chi,tháng,2026,2,tổng,"163,0",nghìn tỷ đồng,163000000000000,163.0,https://www.nso.gov.vn/bai-top/2026/03/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-hai-nam-2026/
CẢ NƯỚC,thu,tháng,2026,2,tổng,"170,5",nghìn tỷ đồng,170500000000000,170.5,https://www.nso.gov.vn/bai-top/2026/03/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-hai-nam-2026/
CẢ NƯỚC,chi,tháng,2026,3,tổng,"207,5",nghìn tỷ đồng,207500000000000,207.5,https://www.nso.gov.vn/bai-top/2026/04/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-i-nam-2026/
CẢ NƯỚC,thu,tháng,2026,3,tổng,"219,3",nghìn tỷ đồng,219300000000000,219.3,https://www.nso.gov.vn/bai-top/2026/04/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-i-nam-2026/
CẢ NƯỚC,chi,tháng,2026,4,tổng,"143,9",nghìn tỷ đồng,143900000000000,143.9,https://www.nso.gov.vn/bai-top/2026/05/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tu-va-4-thang-dau-nam-2026/
CẢ NƯỚC,thu,tháng,2026,4,tổng,"257,2",nghìn tỷ đồng,257200000000000,257.2,https://www.nso.gov.vn/bai-top/2026/05/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-tu-va-4-thang-dau-nam-2026/
CẢ NƯỚC,chi,tháng,2026,5,tổng,"184,8",nghìn tỷ đồng,184800000000000,184.8,https://www.nso.gov.vn/bai-top/2026/06/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-nam-va-5-thang-dau-nam-2025-2/
CẢ NƯỚC,thu,tháng,2026,5,tổng,"215,0",nghìn tỷ đồng,215000000000000,215.0,https://www.nso.gov.vn/bai-top/2026/06/bao-cao-tinh-hinh-kinh-te-xa-hoi-thang-nam-va-5-thang-dau-nam-2025-2/
